Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1902-0012-GTM,1902,0012,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",,Tsunami/Tidal wave,,,,,,8,Richter,14,-91,20:20,,1902,4,18,1902,4,18,2000,,,,,,,25000,"3,3918445425"
1902-0003-GTM,1902,0003,Natural,Geophysical,Volcanic activity,Ash fall,,Santa Maria,Kill,Guatemala,GTM,Central America,Americas,,,,,,,,,,,,,,,1902,4,8,1902,4,8,1000,,,,,,,,"3,3918445425"
1902-0010-GTM,1902,0010,Natural,Geophysical,Volcanic activity,Ash fall,,Santa Maria,Kill,Guatemala,GTM,Central America,Americas,,,,,,,,,,,,,,,1902,10,24,1902,10,24,6000,,,,,,,,"3,3918445425"
1903-0006-CAN,1903,0006,Natural,Geophysical,Mass movement (dry),Rockfall,,,Kill,Canada,CAN,Northern America,Americas,"Frank, Alberta",,,,,,,,,,,,,,1903,4,29,1903,4,29,76,23,,,23,,,,"3,5223001018"
1905-0005-CAN,1905,0005,Natural,Geophysical,Mass movement (dry),Rockfall,,,Kill,Canada,CAN,Northern America,Americas,"Spence's Bridge, British Columbia",,,,,,,,,,,,,,1905,8,13,1905,8,13,18,18,,,18,,,,"3,5223001018"
