Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 19 Oct 2020 03:55:24 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1931-0006-FJI,1931,0006,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Fiji,FJI,Melanesia,Oceania,"Labasa, Lautoka",,,,,,,,,Kph,,,,,1931,2,16,1931,2,16,200,,,,,,,,"5,9618190613"
1939-0017-AUS,1939,0017,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Kill,Australia,AUS,Australia and New Zealand,Oceania,Victoria New South Wales,,,,,,,,5000,Km2,,,,,1939,,,1939,,,71,,,3900,3900,,,,"5,4530423799"
1941-0002-FJI,1941,0002,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Fiji,FJI,Melanesia,Oceania,Viti Levu,,,,,,,,,Kph,,,,,1941,2,19,1941,2,19,6,,,,,,,,"5,7661357223"
1942-0005-COK,1942,0005,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Cook Islands (the),COK,Polynesia,Oceania,"Palmeston, Suwarrow",,,,,,,,,Kph,,,,,1942,2,19,1942,2,19,,,,,,,,,"6,405367963"
1943-0009-COK,1943,0009,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Cook Islands (the),COK,Polynesia,Oceania,Rarotonga,,,,,,,,,Kph,,,,,1943,3,6,1943,3,6,,,,,,,,,"6,783689085"
